RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
11     1   1   7   8  9  250    19.0     0.2    872.9     4.4  100  45     0     0 1   301   -316  9
11     1   1   7   9  9  250    19.0     0.8    873.2     4.6   99  45     0    11 1   304   -318  9
11     1   1   7  10  9  250    17.0     1.6    873.6     4.9  100  45     3    33 1   308   -322  9
11     1   1   7  11  9  250    17.0     2.0    874.2     5.0  100  60     0    42 1   310   -324  9
11     1   1   7  12  9  240    18.0     1.9    873.7     5.0   99  60     3    58 1   309   -324  9
11     1   1   7  13  9  240    18.0     2.1    873.6     5.0   99  60     0    44 1   310   -324  9
11     1   1   7  14  9  240    17.0     2.4    873.4     5.2  100  45     3    22 1   312   -326  9
11     1   1   7  15  9  250    21.0     2.5    873.2     5.2   99  45     3    22 1   312   -326  9
11     1   1   7  16  9  240    15.0     2.7    873.6     5.2   99  45     3     6 1   313   -327  9
11     1   1   7  17  9  250    16.0     2.7    873.8     5.2   99  45     0     0 1   313   -327  9
11     1   1   7  18  9  250    17.0     2.4    874.0     5.2  100  60     0     0 1   312   -326  9
11     1   1   7  19  9  250    19.0     2.1    874.2     5.0   99  45     0     0 1   310   -324  9
11     1   1   7  20  7  250    19.0     1.8    874.1     4.9  100  28     0     0 1   290   -322  9
11     1   1   7  21  9  260    23.0     1.5    874.3     4.7   98  68     0     0 1   307   -322  9
11     1   1   7  22  8  260    19.0     0.7    874.9     4.5   98  28     0     0 1   285   -317  9
11     1   1   7  23  8  260    17.0     0.6    875.9     4.5   99  41     0     0 1   284   -316  9
11     1   1   7  24  7  260    15.0     0.4    876.8     4.4   99  28     0     0 1   283   -315  9
11     1   1   8   1  7  250    19.0     0.4    876.6     4.4   99   2     0     0 1   283   -315  9
11     1   1   8   2  7  250    17.0     0.4    877.2     4.4   99  -1     0     0 1   283   -315  9
11     1   1   8   3  7  250    19.0     0.3    877.1     4.3   97  -1     0     0 1   283   -315  9
11     1   1   8   4  7  250    19.0     0.0    877.5     4.2   98  -1     0     0 1   281   -313  9
11     1   1   8   5  8  250    19.0     0.1    877.5     4.3   99  -1     0     0 1   282   -314  9
11     1   1   8   6  8  250    19.0     0.3    877.6     4.3   97  -1     0     0 1   283   -315  9
11     1   1   8   7  8  240    20.0     0.3    877.9     4.3   97  -1     0     0 1   283   -315  9
11     1   1   8   8  8  240    20.0     0.2    877.8     4.3   98  -1     0     0 1   282   -314  9
11     1   1   8   9  8  240    19.0     0.2    878.1     4.3   98  85     0     6 1   282   -314  9
11     1   1   8  10  9  250    20.0     0.0    878.5     4.3   99  47     0    19 1   300   -315  9
11     1   1   8  11  9  250    18.0     0.1    879.2     4.4  100  68     0    44 1   301   -315  9
11     1   1   8  12  9  250    20.0     0.3    879.5     4.3   99  45     3    42 1   302   -316  9
11     1   1   8  13  7  250    19.0     0.6    879.8     4.5   99  41     3    72 1   284   -316  9
11     1   1   8  14  7  250    17.0     0.9    880.2     4.5   99  28     6    89 1   286   -317  9
11     1   1   8  15  8  260    17.0     1.1    880.9     4.4   94  -1     3    19 1   287   -318  9
11     1   1   8  16  8  250    15.0     1.1    881.0     4.3   92  25     3    14 1   287   -318  9
11     1   1   8  17  7  250    17.0     1.1    880.8     4.2   90  -1     0     0 1   287   -318  9
11     1   1   8  18  7  250    17.0     0.9    881.1     4.2   91  -1     0     0 1   286   -317  9
11     1   1   8  19  8  250    19.0     0.8    881.1     4.1   90   2     0     0 1   285   -317  9
11     1   1   8  20  7  250    20.0     0.9    880.7     4.0   88  -1     0     0 1   286   -317  9
11     1   1   8  21  8  250    19.0     1.0    880.8     4.1   89  -1     0     0 1   286   -318  9
11     1   1   8  22  8  260    22.0     1.2    880.5     4.1   88  -1     0     0 1   287   -319  9
11     1   1   8  23  8  260    22.0     1.2    880.4     4.2   90  -1     0     0 1   287   -319  9
